Reading	Receive	Value	Unit	Data Quality
2025-08-24 09:30:00	2025-08-24 09:50:19	2,770.00	cfs	A
2025-08-24 09:15:00	2025-08-24 09:50:19	2,360.00	cfs	A
2025-08-24 09:00:00	2025-08-24 09:50:19	2,160.00	cfs	A
2025-08-24 08:45:00	2025-08-24 09:50:19	2,410.00	cfs	A
2025-08-24 08:30:00	2025-08-24 08:50:17	1,990.00	cfs	A
2025-08-24 08:15:00	2025-08-24 08:50:17	2,470.00	cfs	A
2025-08-24 08:00:00	2025-08-24 08:50:17	2,370.00	cfs	A
2025-08-24 07:45:00	2025-08-24 08:50:17	1,930.00	cfs	A
2025-08-24 07:30:00	2025-08-24 07:50:14	1,180.00	cfs	A
2025-08-24 07:15:00	2025-08-24 07:50:14	1,250.00	cfs	A
2025-08-24 07:00:00	2025-08-24 07:50:14	1,410.00	cfs	A
2025-08-24 06:45:00	2025-08-24 07:50:14	902.00	cfs	A
2025-08-24 06:30:00	2025-08-24 06:50:17	494.00	cfs	A
2025-08-24 05:45:00	2025-08-24 06:50:17	223.00	cfs	A
2025-08-24 05:15:00	2025-08-24 05:50:18	222.00	cfs	A
2025-08-24 05:00:00	2025-08-24 05:50:18	385.00	cfs	A
2025-08-24 04:45:00	2025-08-24 05:50:18	910.00	cfs	A
2025-08-24 04:30:00	2025-08-24 04:50:19	1,530.00	cfs	A
2025-08-24 04:15:00	2025-08-24 04:50:19	2,080.00	cfs	A
2025-08-24 04:00:00	2025-08-24 04:50:19	1,330.00	cfs	A
2025-08-24 03:45:00	2025-08-24 04:50:19	1,590.00	cfs	A
2025-08-24 03:30:00	2025-08-24 03:50:18	1,680.00	cfs	A
2025-08-24 03:15:00	2025-08-24 03:50:18	1,480.00	cfs	A
2025-08-24 03:00:00	2025-08-24 03:50:18	1,510.00	cfs	A
2025-08-24 02:45:00	2025-08-24 03:50:18	2,240.00	cfs	A
2025-08-24 02:30:00	2025-08-24 02:50:18	2,270.00	cfs	A
2025-08-24 02:15:00	2025-08-24 02:50:18	2,460.00	cfs	A
2025-08-24 02:00:00	2025-08-24 02:50:18	1,980.00	cfs	A
2025-08-24 01:45:00	2025-08-24 02:50:18	2,740.00	cfs	A
2025-08-24 01:30:00	2025-08-24 01:50:17	2,450.00	cfs	A
2025-08-24 01:15:00	2025-08-24 01:50:17	2,500.00	cfs	A
2025-08-24 01:00:00	2025-08-24 01:50:17	2,980.00	cfs	A
2025-08-24 00:45:00	2025-08-24 01:50:17	3,250.00	cfs	A
2025-08-24 00:30:00	2025-08-24 00:50:18	3,410.00	cfs	A
2025-08-24 00:15:00	2025-08-24 00:50:18	3,570.00	cfs	A
2025-08-24 00:00:00	2025-08-24 00:50:18	3,650.00	cfs	A
